ad  2   Անդորա

ae  3   Միացյալ Արաբական Էմիրատներ

af  1   Աֆղանստան

ag  2   Անտիքուա և Բարբուդա

ai  1   Անքուիլա
al  1   Ալբանիա

am  2   Հայաստան

an  1   Անտիլյան Նիդեռլանդներ

ao  1   Անգոլա

aq  1   Անտարկտիդա

ar  3   Արգենտինա
arpa  1   Հին ոճի ԱՐՓԱՆԵԹ

as  1   Ամերիկյան Սամոա
at  3   Ավստրիա
au  3   Ավստրալիա

aw  1   Արուբա
az  1   Ադրբեջան

ba  3   Բոսնիա-Հերցոգովինա

bb  2   Բարբադոս
bd  1   Բանգլադեշ

be  3   Բելգիա
bf  1   Բուրկինա Ֆասո
bg  2   Բուլղարիա

bh  1   Բահրեյն
bi  1   Բուրունդի
bj  1   Բենին
bm  1   Բերմուդա

bn  1   Բրունեյ Դարուսալամ
bo  3   Բոլիվիա

br  3   Բարազիլիա
bs  1   Բահամյան կղզիներ
bt  1   Բութան
bv  1   Բուվե կղզի

bw  1   Բոտսվանա
by  1   Բելոռուսիա
bz  1   Բելիզ

ca  3   Կանադա
cc  1   Կոկոսյան կղզիներ
cd  1   Կոնգոյի ժողովրդավարական հանրապետություն

cf  1   Հարավ Աֆրիկյան Հանրապետություն

cg  1   Կոնգո
ch  2   Շվեյցարիա

ci  1   Փղոսկրե Ափ

ck  1   Քուկի կղզիներ
cl  2   Չիլի
cm  1   Կամերուն

cn  3   Չինաստան
co  3   Կուլումբիա

com  2   Առևտրական

cr  3   Կոստա Ռիկա

cu  2   Կուբա
cv  1   Կանաչ հրվանդանի կղզիներ
cx  2   Ծննդյան կղզի
cy  3   Կիպրոս

cz  2   Չեխական հանրապետություն
de  2   Գերմանիա

dj  1   Ջիբուտի
dk  2   Դանիա
dm  2   Դոմինիկ

do  3   Դոմինիկյան հանրապետություն

dz  1   Ալժիր

ec  3   Էկվադոր
edu  2   ԱՄՆ ուսումնական

ee  2   Էստոնիա
eg  3   Եգիպտոս
eh  1   Առևմտյան Սահարա

er  1   Էրիտրեա
es  2   Իսպանիա
et  1   Հաբեշստան

fi  2   Ֆինլանդիա

fj  3   Ֆիջի
fk  1   Ֆոլկլենդյան կղզիներ

fm  1   Մակրոնեզիա
fo  1   Ֆարերյան կղզիներ

fr  2   Ֆրանսիա

fx  1   Ֆրանսիա (Եվրոպական տարածք)

ga  1   Գաբոն
gb  1   Միացյալ Թագավորություն
gd  1   Գրենադա

ge  1   Վրաստան
gf  1   Ֆրանսիական Գայանա

gg  1   Գուերնսեյ
gh  3   Գանա
gi  1   Ջիբրալթար

gl  1   Գրենլանդիա

gm  1   Գամբիա
gn  1   Գվինեա

gov  2   ԱՄՆ կառավարություն

gp  1   Գվատելուպե (Ֆրանսիա)

gq  1   Հասարակածային Գվինեա
gr  2   Հունաստան
gs  1   ս. Ջորջիա և ս. Սանդվիչ կղզիներ
gt  3   Գվատեմալա
gu  1   Գուամ (ԱՄՆ)

gw  1   Գվինեա Բիսո

gy  1   Գվիանա
hk  3   Հոնկոնգ

hm  1   Հերդ և Մ՚Դոնալդ կղզիներ

hn  2   Հոնդուրաս
hr  2   Խորվաթիա
ht  1   Հաիթի
hu  2   Հունգարիա

id  3   Ինդոնեզիա

ie  2   Իռլանդիա
il  3   Իսրայել
im  1   Մարդու կղզի

in  3   Հնդկաստան
int  1   Միջազգային

io  1   Բրիտանական հնդկական օվկիանոսի տարածք

iq  1   Իրաք
ir  1   Իրան

is  2   Իսլանդիա
it  2   Իտալիա

je  1   Ջերսի
jm  3   Յամայկա կղզի

jo  3   Հորդանան
jp  3   Ճապոնիա
ke  3   Քենիա
kg  1   Ղրղստան

kh  1   Կամբոջիա

ki  1   Կիրիբաթի

km  1   Կոմորոս
kn  1   Սուրբ Քիթ և Նեվիս

kp  1   Հյուսիսային Կորեա

kr  3   Հարավային Կորեա
kw  3   Քուվեյտ
ky  1   Քայման կղզիներ
kz  1   Ղազախստան

la  1   Լաոս
lb  3   Լիբանան
lc  1   Սենտ Լուցիա

li  2   Լիխտենշտեյն
lk  1   Շրի Լանկա
lr  1   Լիբերիա
ls  1   Լեսոթո

lt  2   Լիտվիա

lu  2   Լյուքսեմբուրգ

lv  2   Լատվիա
ly  1   Լիբիա
ma  1   Մարոկկո

mc  2   Մոնակո

md  1   Մոլդավիա

mg  1   Մադագասկար

mh  1   Մարշալյան կղզիներ
mil  2   ԱՄՆ ռազմական

mk  3   Մակեդոնիա
ml  1   Մալի
mm  1   Մյանմար

mn  1   Մոնղոլիա
mo  1   Մակաու
mp  1   Հյուսիսային Մարիանյան կղզիներ

mq  1   Մարտինիկա կղզի
mr  1   Մավրիտանիա
ms  1   Մոնսերատ

mt  3   Մալթա
mu  1   Մավրիտիուս
mv  1   Մալդիվես
mw  1   Մալավի
mx  3   Մեքսիկա
my  3   Մալազիա

mz  1   Մոզամբիկ

na  1   Նամիբիա
nc  1   Նոր Կալեդոնիա (Ֆրանսիա)

ne  1   Նիգեր
net  2   Ցանց

nf  1   Նորֆոլկյան կղզի

ng  1   Նիգերիա
ni  3   Նիկարագուա

nl  2   Նիդերլանդներ

no  2   Նորվեգիա
np  1   Նեպալ
nr  1   Նաուրու
nu  2   Նիյու
nz  3   Նոր Զելանդիա

om  1   Օման
org  2   Ոչ շահութաբեր կազմակերպություններ

pa  3   Պանամա
pe  3   Պերու
pf  1   Պոլինեզիա (Ֆրանսիա)

pg  3   Պապուա Նոր Գվինեա

ph  3   Ֆիլիպիններ
pk  3   Պակիստան

pl  3   Լեհաստան
pm  1   Սենտ Պիեռ և Միքել

pn  1   Փիթքարն կղզի
pr  1   Պուերտո Ռիկո
pt  2   Պորտուգալիա

pw  1   Պալաու
py  3   Պարագվայ

qa  1   Քատար
re  1   Րեյունիոն (Ֆրանսիա)

ro  2   Ռումինիա
ru  2   Ռուսաստան
rw  1   Ռվանդա
sa  3   Սաուդյան Արաբիա
sb  1   Սոլոմոնյան կղզիներ

sc  1   Սեյչելես
sd  1   Սուդան
se  2   Շվեդիա
sg  3   Սինգապուր

sh  1   Սենտ Հելենա

si  2   Սլովենիա
sj  1   Սվալբարդ և Ժան Մայեն կղզիներ

sk  2   Սլովակյան Հանրապետություն

sl  1   Սիեռա Լեոնե
sm  1   Սան Մարինո
sn  1   Սենեգալ

so  1   Սոմալիա

sr  1   Սուրինամ

st  1   Սենտ Թոմ

su  2   Նախկին ԽՍՀՄ

sv  3   Էլ Սալվադոր
sy  1   Սիրիա
sz  1   Սվազիլենդ

tc  1   Թուրքեր և Կակոս կղզիներ

td  1   Չադ
tf  1   Ֆրանսիական Հարավային Տարածքներ

tg  1   Տոգո
th  3   Թաիլանդ
tj  1   Տաջիկստան

tk  1   Տոկելա


tl  1   Արևելյան Թիմոր
tm  1   Թուրքմենստան
tn  1   Թունիսիա
to  1   Տոնգա
tp  1   Արևելյան Թիմոր

tr  3   Թուրքիա
tt  3   Թրինիդադ և Տոբակո

tv  1   Տուվալու
tw  3   Տայվան
tz  1   Տանզանիա

ua  3   Ուկրաինա

ug  3   Ուգանդա
uk  3   Միացյալ Թագավորություն

um  1   ԱՄՆ կրտսեր կղզիներ
us  4   Միացյալ Նահանգներ
uy  3   Ուրուգվայ
uz  1   Ուզբեկիստան
va  1   Վատիկան

vc  1   Սենտ Վինսենտ և Գրենադիա

ve  3   Վենեսուելա
vg  1   Վիրջինյան կղզիներ (Բրիտանիա)

vi  1   Վիրջինյան կղզիներ (ԱՄՆ)

vn  1   Վիետնամ
vu  1   Վանուատու

wf  1   Վալիս և Ֆուտունա կղզիներ

ws  1   Սամոա
ye  1   Եմեն
yt  1   Մայոթե

yu  3   Հարավսլավիա

za  3   Հարավային Աֆրիկա

zm  1   Զամբիա
zr  1   Կոնգոյի Ժողովրդավարական հանրապետություն

zw  3   Զինբաբե
